 v-sweep         vsg_out         vsd_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  6.34131196e-14  6.34131196e-09 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  6.69376371e-14  6.69376371e-09 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  7.39866722e-14  7.39866722e-09 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  8.10357072e-14  8.10357072e-09 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  8.45602248e-14  8.45602248e-09 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  9.51337774e-14  9.51337774e-09 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.16280883e-13  1.16280883e-08 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.26854435e-13  1.26854435e-08 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  1.48001540e-13  1.48001540e-08 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  1.86771233e-13  1.86771233e-08 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  2.25540926e-13  2.25540926e-08 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  2.78408689e-13  2.78408689e-08 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  3.48899040e-13  3.48899040e-08 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  4.44061014e-13  4.44061014e-08 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  5.60370092e-13  5.60370092e-08 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  7.22497899e-13  7.22497899e-08 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  9.33968952e-13  9.33968952e-08 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  1.20535680e-12  1.20535680e-07 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  1.56133307e-12  1.56133307e-07 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  2.03009391e-12  2.03009391e-07 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  2.64688448e-12  2.64688448e-07 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  3.45047447e-12  3.45047447e-07 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  4.50430522e-12  4.50430522e-07 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  5.88591609e-12  5.88591609e-07 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  7.69046907e-12  7.69046907e-07 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  1.00624694e-11  1.00624694e-06 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  1.31675693e-11  1.31675693e-06 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  1.72348626e-11  1.72348626e-06 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  2.25604086e-11  2.25604086e-06 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  2.95283797e-11  2.95283797e-06 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  3.86498311e-11  3.86498311e-06 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  5.05803230e-11  5.05803230e-06 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  6.61833621e-11  6.61833621e-06 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  8.66044168e-11  8.66044168e-06 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  1.13288539e-10  1.13288539e-05 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  1.48163640e-10  1.48163640e-05 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  1.93721554e-10  1.93721554e-05 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  2.53190738e-10  2.53190738e-05 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  3.30793565e-10  3.30793565e-05 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  4.31982464e-10  4.31982464e-05 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  5.63834665e-10  5.63834665e-05 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  7.35496292e-10  7.35496292e-05 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  9.58774478e-10  9.58774478e-05 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  1.24888104e-09  1.24888104e-04 
 5.10000000e-01  5.10000000e-01  5.00000000e-02  1.62536296e-09  1.62536296e-04 
 5.20000000e-01  5.20000000e-01  5.00000000e-02  2.11328659e-09  2.11328659e-04 
 5.30000000e-01  5.30000000e-01  5.00000000e-02  2.74469686e-09  2.74469686e-04 
 5.40000000e-01  5.40000000e-01  5.00000000e-02  3.56040767e-09  3.56040767e-04 
 5.50000000e-01  5.50000000e-01  5.00000000e-02  4.61231051e-09  4.61231051e-04 
 5.60000000e-01  5.60000000e-01  5.00000000e-02  5.96603892e-09  5.96603892e-04 
 5.70000000e-01  5.70000000e-01  5.00000000e-02  7.70435564e-09  7.70435564e-04 
 5.80000000e-01  5.80000000e-01  5.00000000e-02  9.93116697e-09  9.93116697e-04 
 5.90000000e-01  5.90000000e-01  5.00000000e-02  1.27763690e-08  1.27763690e-03 
 6.00000000e-01  6.00000000e-01  5.00000000e-02  1.64016560e-08  1.64016560e-03 
 6.10000000e-01  6.10000000e-01  5.00000000e-02  2.10073087e-08  2.10073087e-03 
 6.20000000e-01  6.20000000e-01  5.00000000e-02  2.68403500e-08  2.68403500e-03 
 6.30000000e-01  6.30000000e-01  5.00000000e-02  3.42039025e-08  3.42039025e-03 
 6.40000000e-01  6.40000000e-01  5.00000000e-02  4.34681215e-08  4.34681215e-03 
 6.50000000e-01  6.50000000e-01  5.00000000e-02  5.50825522e-08  5.50825522e-03 
 6.60000000e-01  6.60000000e-01  5.00000000e-02  6.95899669e-08  6.95899669e-03 
 6.70000000e-01  6.70000000e-01  5.00000000e-02  8.76411042e-08  8.76411042e-03 
 6.80000000e-01  6.80000000e-01  5.00000000e-02  1.10009624e-07  1.10009624e-02 
 6.90000000e-01  6.90000000e-01  5.00000000e-02  1.37605669e-07  1.37605669e-02 
 7.00000000e-01  7.00000000e-01  5.00000000e-02  1.71485848e-07  1.71485848e-02 
 7.10000000e-01  7.10000000e-01  5.00000000e-02  2.12856477e-07  2.12856477e-02 
 7.20000000e-01  7.20000000e-01  5.00000000e-02  2.63066320e-07  2.63066320e-02 
 7.30000000e-01  7.30000000e-01  5.00000000e-02  3.23584926e-07  3.23584926e-02 
 7.40000000e-01  7.40000000e-01  5.00000000e-02  3.95963650e-07  3.95963650e-02 
 7.50000000e-01  7.50000000e-01  5.00000000e-02  4.81778222e-07  4.81778222e-02 
 7.60000000e-01  7.60000000e-01  5.00000000e-02  5.82555563e-07  5.82555563e-02 
 7.70000000e-01  7.70000000e-01  5.00000000e-02  6.99690753e-07  6.99690753e-02 
 7.80000000e-01  7.80000000e-01  5.00000000e-02  8.34364334e-07  8.34364334e-02 
 7.90000000e-01  7.90000000e-01  5.00000000e-02  9.87470719e-07  9.87470719e-02 
 8.00000000e-01  8.00000000e-01  5.00000000e-02  1.15956804e-06  1.15956804e-01 
 8.10000000e-01  8.10000000e-01  5.00000000e-02  1.35085529e-06  1.35085529e-01 
 8.20000000e-01  8.20000000e-01  5.00000000e-02  1.56117772e-06  1.56117772e-01 
 8.30000000e-01  8.30000000e-01  5.00000000e-02  1.79005664e-06  1.79005664e-01 
 8.40000000e-01  8.40000000e-01  5.00000000e-02  2.03673651e-06  2.03673651e-01 
 8.50000000e-01  8.50000000e-01  5.00000000e-02  2.30024182e-06  2.30024182e-01 
 8.60000000e-01  8.60000000e-01  5.00000000e-02  2.57942358e-06  2.57942358e-01 
 8.70000000e-01  8.70000000e-01  5.00000000e-02  2.87300022e-06  2.87300022e-01 
 8.80000000e-01  8.80000000e-01  5.00000000e-02  3.17966838e-06  3.17966838e-01 
 8.90000000e-01  8.90000000e-01  5.00000000e-02  3.49811705e-06  3.49811705e-01 
 9.00000000e-01  9.00000000e-01  5.00000000e-02  3.82705915e-06  3.82705915e-01 
 9.10000000e-01  9.10000000e-01  5.00000000e-02  4.16525725e-06  4.16525725e-01 
 9.20000000e-01  9.20000000e-01  5.00000000e-02  4.51154192e-06  4.51154192e-01 
 9.30000000e-01  9.30000000e-01  5.00000000e-02  4.86482380e-06  4.86482380e-01 
 9.40000000e-01  9.40000000e-01  5.00000000e-02  5.22410040e-06  5.22410040e-01 
 9.50000000e-01  9.50000000e-01  5.00000000e-02  5.58845876e-06  5.58845876e-01 
 9.60000000e-01  9.60000000e-01  5.00000000e-02  5.95707498e-06  5.95707498e-01 
 9.70000000e-01  9.70000000e-01  5.00000000e-02  6.32921134e-06  6.32921134e-01 
 9.80000000e-01  9.80000000e-01  5.00000000e-02  6.70421185e-06  6.70421185e-01 
 9.90000000e-01  9.90000000e-01  5.00000000e-02  7.08149673e-06  7.08149673e-01 
 1.00000000e+00  1.00000000e+00  5.00000000e-02  7.46055624e-06  7.46055624e-01 
 1.01000000e+00  1.01000000e+00  5.00000000e-02  7.84094441e-06  7.84094441e-01 
 1.02000000e+00  1.02000000e+00  5.00000000e-02  8.22227258e-06  8.22227258e-01 
 1.03000000e+00  1.03000000e+00  5.00000000e-02  8.60420339e-06  8.60420339e-01 
 1.04000000e+00  1.04000000e+00  5.00000000e-02  8.98644488e-06  8.98644488e-01 
 1.05000000e+00  1.05000000e+00  5.00000000e-02  9.36874517e-06  9.36874517e-01 
 1.06000000e+00  1.06000000e+00  5.00000000e-02  9.75088747e-06  9.75088747e-01 
 1.07000000e+00  1.07000000e+00  5.00000000e-02  1.01326856e-05  1.01326856e+00 
 1.08000000e+00  1.08000000e+00  5.00000000e-02  1.05139802e-05  1.05139802e+00 
 1.09000000e+00  1.09000000e+00  5.00000000e-02  1.08946346e-05  1.08946346e+00 
 1.10000000e+00  1.10000000e+00  5.00000000e-02  1.12745325e-05  1.12745325e+00 
 1.11000000e+00  1.11000000e+00  5.00000000e-02  1.16535744e-05  1.16535744e+00 
 1.12000000e+00  1.12000000e+00  5.00000000e-02  1.20316758e-05  1.20316758e+00 
 1.13000000e+00  1.13000000e+00  5.00000000e-02  1.24087646e-05  1.24087646e+00 
 1.14000000e+00  1.14000000e+00  5.00000000e-02  1.27847798e-05  1.27847798e+00 
 1.15000000e+00  1.15000000e+00  5.00000000e-02  1.31596694e-05  1.31596694e+00 
 1.16000000e+00  1.16000000e+00  5.00000000e-02  1.35333897e-05  1.35333897e+00 
 1.17000000e+00  1.17000000e+00  5.00000000e-02  1.39059033e-05  1.39059033e+00 
 1.18000000e+00  1.18000000e+00  5.00000000e-02  1.42771790e-05  1.42771790e+00 
 1.19000000e+00  1.19000000e+00  5.00000000e-02  1.46471902e-05  1.46471902e+00 
 1.20000000e+00  1.20000000e+00  5.00000000e-02  1.50159148e-05  1.50159148e+00 
 1.21000000e+00  1.21000000e+00  5.00000000e-02  1.53833339e-05  1.53833339e+00 
 1.22000000e+00  1.22000000e+00  5.00000000e-02  1.57494322e-05  1.57494322e+00 
 1.23000000e+00  1.23000000e+00  5.00000000e-02  1.61141966e-05  1.61141966e+00 
 1.24000000e+00  1.24000000e+00  5.00000000e-02  1.64776164e-05  1.64776164e+00 
 1.25000000e+00  1.25000000e+00  5.00000000e-02  1.68396828e-05  1.68396828e+00 
 1.26000000e+00  1.26000000e+00  5.00000000e-02  1.72003888e-05  1.72003888e+00 
 1.27000000e+00  1.27000000e+00  5.00000000e-02  1.75597286e-05  1.75597286e+00 
 1.28000000e+00  1.28000000e+00  5.00000000e-02  1.79176977e-05  1.79176977e+00 
 1.29000000e+00  1.29000000e+00  5.00000000e-02  1.82742928e-05  1.82742928e+00 
 1.30000000e+00  1.30000000e+00  5.00000000e-02  1.86295113e-05  1.86295113e+00 
 1.31000000e+00  1.31000000e+00  5.00000000e-02  1.89833517e-05  1.89833517e+00 
 1.32000000e+00  1.32000000e+00  5.00000000e-02  1.93358128e-05  1.93358128e+00 
 1.33000000e+00  1.33000000e+00  5.00000000e-02  1.96868944e-05  1.96868944e+00 
 1.34000000e+00  1.34000000e+00  5.00000000e-02  2.00365966e-05  2.00365966e+00 
 1.35000000e+00  1.35000000e+00  5.00000000e-02  2.03849200e-05  2.03849200e+00 
 1.36000000e+00  1.36000000e+00  5.00000000e-02  2.07318656e-05  2.07318656e+00 
 1.37000000e+00  1.37000000e+00  5.00000000e-02  2.10774350e-05  2.10774350e+00 
 1.38000000e+00  1.38000000e+00  5.00000000e-02  2.14216298e-05  2.14216298e+00 
 1.39000000e+00  1.39000000e+00  5.00000000e-02  2.17644520e-05  2.17644520e+00 
 1.40000000e+00  1.40000000e+00  5.00000000e-02  2.21059041e-05  2.21059041e+00 
 1.41000000e+00  1.41000000e+00  5.00000000e-02  2.24459885e-05  2.24459885e+00 
 1.42000000e+00  1.42000000e+00  5.00000000e-02  2.27847079e-05  2.27847079e+00 
 1.43000000e+00  1.43000000e+00  5.00000000e-02  2.31220654e-05  2.31220654e+00 
 1.44000000e+00  1.44000000e+00  5.00000000e-02  2.34580641e-05  2.34580641e+00 
 1.45000000e+00  1.45000000e+00  5.00000000e-02  2.37927072e-05  2.37927072e+00 
 1.46000000e+00  1.46000000e+00  5.00000000e-02  2.41259982e-05  2.41259982e+00 
 1.47000000e+00  1.47000000e+00  5.00000000e-02  2.44579407e-05  2.44579407e+00 
 1.48000000e+00  1.48000000e+00  5.00000000e-02  2.47885382e-05  2.47885382e+00 
 1.49000000e+00  1.49000000e+00  5.00000000e-02  2.51177948e-05  2.51177948e+00 
 1.50000000e+00  1.50000000e+00  5.00000000e-02  2.54457141e-05  2.54457141e+00 
 1.51000000e+00  1.51000000e+00  5.00000000e-02  2.57723003e-05  2.57723003e+00 
 1.52000000e+00  1.52000000e+00  5.00000000e-02  2.60975574e-05  2.60975574e+00 
 1.53000000e+00  1.53000000e+00  5.00000000e-02  2.64214896e-05  2.64214896e+00 
 1.54000000e+00  1.54000000e+00  5.00000000e-02  2.67441011e-05  2.67441011e+00 
 1.55000000e+00  1.55000000e+00  5.00000000e-02  2.70653962e-05  2.70653962e+00 
 1.56000000e+00  1.56000000e+00  5.00000000e-02  2.73853794e-05  2.73853794e+00 
 1.57000000e+00  1.57000000e+00  5.00000000e-02  2.77040549e-05  2.77040549e+00 
 1.58000000e+00  1.58000000e+00  5.00000000e-02  2.80214273e-05  2.80214273e+00 
 1.59000000e+00  1.59000000e+00  5.00000000e-02  2.83375011e-05  2.83375011e+00 
 1.60000000e+00  1.60000000e+00  5.00000000e-02  2.86522810e-05  2.86522810e+00 
 1.61000000e+00  1.61000000e+00  5.00000000e-02  2.89657714e-05  2.89657714e+00 
 1.62000000e+00  1.62000000e+00  5.00000000e-02  2.92779771e-05  2.92779771e+00 
 1.63000000e+00  1.63000000e+00  5.00000000e-02  2.95889027e-05  2.95889027e+00 
 1.64000000e+00  1.64000000e+00  5.00000000e-02  2.98985529e-05  2.98985529e+00 
 1.65000000e+00  1.65000000e+00  5.00000000e-02  3.02069325e-05  3.02069325e+00 
 1.66000000e+00  1.66000000e+00  5.00000000e-02  3.05140463e-05  3.05140463e+00 
 1.67000000e+00  1.67000000e+00  5.00000000e-02  3.08198991e-05  3.08198991e+00 
 1.68000000e+00  1.68000000e+00  5.00000000e-02  3.11244955e-05  3.11244955e+00 
 1.69000000e+00  1.69000000e+00  5.00000000e-02  3.14278406e-05  3.14278406e+00 
 1.70000000e+00  1.70000000e+00  5.00000000e-02  3.17299391e-05  3.17299391e+00 
 1.71000000e+00  1.71000000e+00  5.00000000e-02  3.20307959e-05  3.20307959e+00 
 1.72000000e+00  1.72000000e+00  5.00000000e-02  3.23304159e-05  3.23304159e+00 
 1.73000000e+00  1.73000000e+00  5.00000000e-02  3.26288039e-05  3.26288039e+00 
 1.74000000e+00  1.74000000e+00  5.00000000e-02  3.29259648e-05  3.29259648e+00 
 1.75000000e+00  1.75000000e+00  5.00000000e-02  3.32219036e-05  3.32219036e+00 
 1.76000000e+00  1.76000000e+00  5.00000000e-02  3.35166251e-05  3.35166251e+00 
 1.77000000e+00  1.77000000e+00  5.00000000e-02  3.38101343e-05  3.38101343e+00 
 1.78000000e+00  1.78000000e+00  5.00000000e-02  3.41024360e-05  3.41024360e+00 
 1.79000000e+00  1.79000000e+00  5.00000000e-02  3.43935352e-05  3.43935352e+00 
 1.80000000e+00  1.80000000e+00  5.00000000e-02  3.46834368e-05  3.46834368e+00 
 1.81000000e+00  1.81000000e+00  5.00000000e-02  3.49721456e-05  3.49721456e+00 
 1.82000000e+00  1.82000000e+00  5.00000000e-02  3.52596667e-05  3.52596667e+00 
 1.83000000e+00  1.83000000e+00  5.00000000e-02  3.55460049e-05  3.55460049e+00 
 1.84000000e+00  1.84000000e+00  5.00000000e-02  3.58311651e-05  3.58311651e+00 
 1.85000000e+00  1.85000000e+00  5.00000000e-02  3.61151523e-05  3.61151523e+00 
 1.86000000e+00  1.86000000e+00  5.00000000e-02  3.63979713e-05  3.63979713e+00 
 1.87000000e+00  1.87000000e+00  5.00000000e-02  3.66796269e-05  3.66796269e+00 
 1.88000000e+00  1.88000000e+00  5.00000000e-02  3.69601242e-05  3.69601242e+00 
 1.89000000e+00  1.89000000e+00  5.00000000e-02  3.72394679e-05  3.72394679e+00 
 1.90000000e+00  1.90000000e+00  5.00000000e-02  3.75176630e-05  3.75176630e+00 
 1.91000000e+00  1.91000000e+00  5.00000000e-02  3.77947143e-05  3.77947143e+00 
 1.92000000e+00  1.92000000e+00  5.00000000e-02  3.80706265e-05  3.80706265e+00 
 1.93000000e+00  1.93000000e+00  5.00000000e-02  3.83454047e-05  3.83454047e+00 
 1.94000000e+00  1.94000000e+00  5.00000000e-02  3.86190535e-05  3.86190535e+00 
 1.95000000e+00  1.95000000e+00  5.00000000e-02  3.88915779e-05  3.88915779e+00 
 1.96000000e+00  1.96000000e+00  5.00000000e-02  3.91629826e-05  3.91629826e+00 
 1.97000000e+00  1.97000000e+00  5.00000000e-02  3.94332724e-05  3.94332724e+00 
 1.98000000e+00  1.98000000e+00  5.00000000e-02  3.97024521e-05  3.97024521e+00 
 1.99000000e+00  1.99000000e+00  5.00000000e-02  3.99705264e-05  3.99705264e+00 
 2.00000000e+00  2.00000000e+00  5.00000000e-02  4.02375002e-05  4.02375002e+00 
 2.01000000e+00  2.01000000e+00  5.00000000e-02  4.05033781e-05  4.05033781e+00 
 2.02000000e+00  2.02000000e+00  5.00000000e-02  4.07681648e-05  4.07681648e+00 
 2.03000000e+00  2.03000000e+00  5.00000000e-02  4.10318652e-05  4.10318652e+00 
 2.04000000e+00  2.04000000e+00  5.00000000e-02  4.12944838e-05  4.12944838e+00 
 2.05000000e+00  2.05000000e+00  5.00000000e-02  4.15560254e-05  4.15560254e+00 
 2.06000000e+00  2.06000000e+00  5.00000000e-02  4.18164946e-05  4.18164946e+00 
 2.07000000e+00  2.07000000e+00  5.00000000e-02  4.20758960e-05  4.20758960e+00 
 2.08000000e+00  2.08000000e+00  5.00000000e-02  4.23342344e-05  4.23342344e+00 
 2.09000000e+00  2.09000000e+00  5.00000000e-02  4.25915143e-05  4.25915143e+00 
 2.10000000e+00  2.10000000e+00  5.00000000e-02  4.28477403e-05  4.28477403e+00 
 2.11000000e+00  2.11000000e+00  5.00000000e-02  4.31029170e-05  4.31029170e+00 
 2.12000000e+00  2.12000000e+00  5.00000000e-02  4.33570490e-05  4.33570490e+00 
 2.13000000e+00  2.13000000e+00  5.00000000e-02  4.36101409e-05  4.36101409e+00 
 2.14000000e+00  2.14000000e+00  5.00000000e-02  4.38621971e-05  4.38621971e+00 
 2.15000000e+00  2.15000000e+00  5.00000000e-02  4.41132222e-05  4.41132222e+00 
 2.16000000e+00  2.16000000e+00  5.00000000e-02  4.43632207e-05  4.43632207e+00 
 2.17000000e+00  2.17000000e+00  5.00000000e-02  4.46121970e-05  4.46121970e+00 
 2.18000000e+00  2.18000000e+00  5.00000000e-02  4.48601557e-05  4.48601557e+00 
 2.19000000e+00  2.19000000e+00  5.00000000e-02  4.51071012e-05  4.51071012e+00 
 2.20000000e+00  2.20000000e+00  5.00000000e-02  4.53530379e-05  4.53530379e+00 
 2.21000000e+00  2.21000000e+00  5.00000000e-02  4.55979702e-05  4.55979702e+00 
 2.22000000e+00  2.22000000e+00  5.00000000e-02  4.58419025e-05  4.58419025e+00 
 2.23000000e+00  2.23000000e+00  5.00000000e-02  4.60848393e-05  4.60848393e+00 
 2.24000000e+00  2.24000000e+00  5.00000000e-02  4.63267848e-05  4.63267848e+00 
 2.25000000e+00  2.25000000e+00  5.00000000e-02  4.65677435e-05  4.65677435e+00 
 2.26000000e+00  2.26000000e+00  5.00000000e-02  4.68077195e-05  4.68077195e+00 
 2.27000000e+00  2.27000000e+00  5.00000000e-02  4.70467173e-05  4.70467173e+00 
 2.28000000e+00  2.28000000e+00  5.00000000e-02  4.72847412e-05  4.72847412e+00 
 2.29000000e+00  2.29000000e+00  5.00000000e-02  4.75217953e-05  4.75217953e+00 
 2.30000000e+00  2.30000000e+00  5.00000000e-02  4.77578840e-05  4.77578840e+00 
 2.31000000e+00  2.31000000e+00  5.00000000e-02  4.79930115e-05  4.79930115e+00 
 2.32000000e+00  2.32000000e+00  5.00000000e-02  4.82271820e-05  4.82271820e+00 
 2.33000000e+00  2.33000000e+00  5.00000000e-02  4.84603996e-05  4.84603996e+00 
 2.34000000e+00  2.34000000e+00  5.00000000e-02  4.86926687e-05  4.86926687e+00 
 2.35000000e+00  2.35000000e+00  5.00000000e-02  4.89239932e-05  4.89239932e+00 
 2.36000000e+00  2.36000000e+00  5.00000000e-02  4.91543775e-05  4.91543775e+00 
 2.37000000e+00  2.37000000e+00  5.00000000e-02  4.93838256e-05  4.93838256e+00 
 2.38000000e+00  2.38000000e+00  5.00000000e-02  4.96123415e-05  4.96123415e+00 
 2.39000000e+00  2.39000000e+00  5.00000000e-02  4.98399295e-05  4.98399295e+00 
 2.40000000e+00  2.40000000e+00  5.00000000e-02  5.00665935e-05  5.00665935e+00 
 2.41000000e+00  2.41000000e+00  5.00000000e-02  5.02923377e-05  5.02923377e+00 
 2.42000000e+00  2.42000000e+00  5.00000000e-02  5.05171660e-05  5.05171660e+00 
 2.43000000e+00  2.43000000e+00  5.00000000e-02  5.07410824e-05  5.07410824e+00 
 2.44000000e+00  2.44000000e+00  5.00000000e-02  5.09640911e-05  5.09640911e+00 
 2.45000000e+00  2.45000000e+00  5.00000000e-02  5.11861958e-05  5.11861958e+00 
