 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  8.40378913e-14  8.40378913e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  9.35100322e-14  9.35100322e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  1.09480502e-13  1.09480502e-08 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  1.28534925e-13  1.28534925e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.53702183e-13  1.53702183e-08 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  1.87074959e-13  1.87074959e-08 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  2.31186499e-13  2.31186499e-08 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  2.89396108e-13  2.89396108e-08 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  3.66274647e-13  3.66274647e-08 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  4.67879879e-13  4.67879879e-08 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  6.01976758e-13  6.01976758e-08 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  7.79193905e-13  7.79193905e-08 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  1.01318883e-12  1.01318883e-07 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.32207975e-12  1.32207975e-07 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.73009772e-12  1.73009772e-07 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  2.26879820e-12  2.26879820e-07 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  2.97992468e-12  2.97992468e-07 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  3.91865790e-12  3.91865790e-07 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  5.15769103e-12  5.15769103e-07 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  6.79301210e-12  6.79301210e-07 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  8.95106317e-12  8.95106317e-07 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.17984328e-11  1.17984328e-06 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  1.55549627e-11  1.55549627e-06 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  2.05099938e-11  2.05099938e-06 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  2.70450000e-11  2.70450000e-06 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  3.56620048e-11  3.56620048e-06 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  4.70220205e-11  4.70220205e-06 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  6.19947768e-11  6.19947768e-06 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  8.17237043e-11  8.17237043e-06 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.07712560e-10  1.07712560e-05 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  1.41935791e-10  1.41935791e-05 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  1.86985899e-10  1.86985899e-05 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  2.46263217e-10  2.46263217e-05 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  3.24223728e-10  3.24223728e-05 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  4.26700948e-10  4.26700948e-05 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  5.61322979e-10  5.61322979e-05 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  7.38051210e-10  7.38051210e-05 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  9.69874534e-10  9.69874534e-05 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.27370105e-09  1.27370105e-04 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  1.67149820e-09  1.67149820e-04 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  2.19174574e-09  2.19174574e-04 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  2.87127729e-09  2.87127729e-04 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  3.75760380e-09  3.75760380e-04 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  4.91182613e-09  4.91182613e-04 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  6.41226611e-09  6.41226611e-04 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  8.35896200e-09  8.35896200e-04 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.08791948e-08  1.08791948e-03 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.41342343e-08  1.41342343e-03 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  1.83275088e-08  1.83275088e-03 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  2.37144211e-08  2.37144211e-03 
