 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  9.84663850e-14  9.84663850e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  1.11958679e-13  1.11958679e-08 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  1.34757901e-13  1.34757901e-08 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  1.61907701e-13  1.61907701e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.97978935e-13  1.97978935e-08 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  2.45449780e-13  2.45449780e-08 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  3.08340390e-13  3.08340390e-08 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  3.91331764e-13  3.91331764e-08 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  5.00977302e-13  5.00977302e-08 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  6.45812945e-13  6.45812945e-08 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  8.37073092e-13  8.37073092e-08 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  1.08973694e-12  1.08973694e-07 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  1.42340963e-12  1.42340963e-07 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.86408446e-12  1.86408446e-07 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  2.44590521e-12  2.44590521e-07 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  3.21419496e-12  3.21419496e-07 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  4.22854009e-12  4.22854009e-07 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  5.56769155e-12  5.56769155e-07 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  7.33545737e-12  7.33545737e-07 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  9.66896334e-12  9.66896334e-07 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  1.27486757e-11  1.27486757e-06 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.68129401e-11  1.68129401e-06 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  2.21760442e-11  2.21760442e-06 
