 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  8.77276206e-14  8.77276206e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  9.81910320e-14  9.81910320e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  1.15813620e-13  1.15813620e-08 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  1.36960725e-13  1.36960725e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.64991653e-13  1.64991653e-08 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  2.01944017e-13  2.01944017e-08 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  2.50791627e-13  2.50791627e-08 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  3.15334355e-13  3.15334355e-08 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  4.00528552e-13  4.00528552e-08 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  5.13092831e-13  5.13092831e-08 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  6.61893556e-13  6.61893556e-08 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  8.58275267e-13  8.58275267e-08 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  1.11771280e-12  1.11771280e-07 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.46030692e-12  1.46030692e-07 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.91265672e-12  1.91265672e-07 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  2.51000737e-12  2.51000737e-07 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  3.29861817e-12  3.29861817e-07 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  4.33994789e-12  4.33994789e-07 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  5.71423438e-12  5.71423438e-07 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  7.52836964e-12  7.52836964e-07 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  9.92267353e-12  9.92267353e-07 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.30821832e-11  1.30821832e-06 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  1.72510817e-11  1.72510817e-06 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  2.27510362e-11  2.27510362e-06 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  3.00060353e-11  3.00060353e-06 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  3.95743294e-11  3.95743294e-06 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  5.21912211e-11  5.21912211e-06 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  6.88249613e-11  6.88249613e-06 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  9.07491676e-11  9.07491676e-06 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.19639252e-10  1.19639252e-05 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  1.57697709e-10  1.57697709e-05 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  2.07817945e-10  2.07817945e-05 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  2.73799171e-10  2.73799171e-05 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  3.60625220e-10  3.60625220e-05 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  4.74829171e-10  4.74829171e-05 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  6.24965743e-10  6.24965743e-05 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  8.22224454e-10  8.22224454e-05 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  1.08122252e-09  1.08122252e-04 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.42102704e-09  1.42102704e-04 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  1.86646901e-09  1.86646901e-04 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  2.44982479e-09  2.44982479e-04 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  3.21296186e-09  3.21296186e-04 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  4.21006054e-09  4.21006054e-04 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  5.51105089e-09  5.51105089e-04 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  7.20592798e-09  7.20592798e-04 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  9.41013432e-09  9.41013432e-04 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.22712299e-08  1.22712299e-03 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.59770973e-08  1.59770973e-03 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  2.07659565e-08  2.07659565e-03 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  2.69384894e-08  2.69384894e-03 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  3.48723905e-08  3.48723905e-03 
