 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  7.69888562e-14  7.69888562e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  8.45335266e-14  8.45335266e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  9.72548321e-14  9.72548321e-09 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  1.12289102e-13  1.12289102e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.32444937e-13  1.32444937e-08 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  1.58933889e-13  1.58933889e-08 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  1.93903711e-13  1.93903711e-08 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  2.40107934e-13  2.40107934e-08 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  3.01126143e-13  3.01126143e-08 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  3.81749482e-13  3.81749482e-08 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  4.88255996e-13  4.88255996e-08 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  6.28906275e-13  6.28906275e-08 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  8.14494151e-13  8.14494151e-08 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.05961333e-12  1.05961333e-07 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.38326317e-12  1.38326317e-07 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  1.81044571e-12  1.81044571e-07 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  2.37436851e-12  2.37436851e-07 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  3.11864749e-12  3.11864749e-07 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  4.10077633e-12  4.10077633e-07 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  5.39664230e-12  5.39664230e-07 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  7.10630866e-12  7.10630866e-07 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  9.36155932e-12  9.36155932e-07 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  1.23359217e-11  1.23359217e-06 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  1.62579938e-11  1.62579938e-06 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  2.14286262e-11  2.14286262e-06 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  2.82436664e-11  2.82436664e-06 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  3.72236965e-11  3.72236965e-06 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  4.90531889e-11  4.90531889e-06 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  6.46307304e-11  6.46307304e-06 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  8.51364836e-11  8.51364836e-06 
